date,Rockbound 2050,Vanguard 2050,S&P 500
2020-12-31,10000.0,10000.0,10000.0
2021-01-31,10000.0,9971.397759630754,9899.037508238076
2021-02-28,10257.92162211383,10209.021859833203,10171.998890703246
2021-03-31,10431.758139215657,10453.24464774257,10617.487760010305
2021-04-30,11212.158065688094,10853.685318488526,11184.132752137682
2021-05-31,12121.629441202569,11005.50166363029,11262.244158682293
2021-06-30,12121.629441202569,11144.11546359348,11525.166619481066
2021-07-31,12887.946593733284,11210.121985768668,11798.939145306605
2021-08-31,13657.736970138078,11449.945303889108,12157.69356891688
2021-09-30,12780.03770539907,11020.902392773907,11592.246728037093
2021-10-31,15247.248418587647,11520.35336375912,12404.414558066248
2021-11-30,15247.248418587647,11249.725485492605,12318.467343047372
2021-12-31,15491.380511227306,11641.624670944473,12870.536925932787
2022-01-31,14343.702637159951,11122.8408477587,12204.527186800646
2022-02-28,14343.702637159951,10839.865503400672,11839.097349096652
2022-03-31,14260.599421553023,10983.835179628648,12278.682932241081
2022-04-30,12867.652778947971,10162.218945740218,11207.9623694926
2022-05-31,12867.652778947973,10201.934112382414,11228.5172079124
2022-06-30,12365.809299694489,9422.517634067508,10301.674850572475
2022-07-31,11788.959831266937,10043.073445813628,11251.535052625832
2022-08-31,11788.959831266937,9663.293222852015,10792.682140227867
2022-09-30,11487.73605740584,8796.996780270523,9798.681643473354
2022-10-31,12525.933846512431,9281.030478864968,10591.995581943127
2022-11-30,12350.295495029297,10015.768816392705,11183.926347931161
2022-12-31,11863.982614496059,9606.573666045608,10539.568284206507
2023-01-31,12529.889061075772,10285.134238111094,11201.814292975287
2023-02-28,12295.909995633454,9977.62112241796,10928.492332429829
2023-03-31,12817.29380410919,10244.470936616617,11329.724490029004
2023-04-30,12962.514279130384,10369.000229537554,11506.568845336478
2023-05-31,12801.12345715708,10259.718640724099,11556.58662567445
2023-06-30,13394.738184605509,10793.418269121408,12320.194090433608
2023-07-31,13810.203254121245,11151.75844377674,12715.974156431354
2023-08-31,13302.237629161378,10854.412187410177,12513.5218353311
2023-09-30,12409.599989763921,10419.82935640565,11916.900407893725
2023-10-31,12126.479166479829,10127.564978772947,11666.324442618967
2023-11-30,12831.753046832026,10989.108339657681,12731.76156110549
2023-12-31,13572.40938237239,11544.853912788138,13310.174110128848
2024-01-31,13582.640480218184,11539.657265277172,13533.839497697738
2024-02-29,14258.246201591795,11989.086626645792,14256.490830209943
2024-03-31,16332.308128428396,12337.198938750693,14715.188939453017
2024-04-30,14922.255355642928,11918.944292683127,14114.146182884566
2024-05-31,15082.568160583738,12407.340238760411,14813.998660512207
2024-06-30,15673.159613533884,12589.189815149888,15345.551161844865
2024-07-31,16421.74173679977,12867.159793292125,15532.34445161894
2024-08-31,16110.231038100836,13147.729129142786,15909.102607998948
2024-09-30,17826.56800030325,13433.492010645576,16248.874137420766
2024-10-31,15755.26546414023,13124.348351155231,16101.529222336276
2024-11-30,17419.403574269876,13602.352036163535,17046.698133659174
2024-12-31,15887.152336077972,13232.665261869259,16640.337334952925
2025-01-31,15062.205539060295,13617.644200247732,17103.726105645343
2025-02-28,16133.955789725043,13583.12878297534,16880.562884408162
2025-03-31,16014.454246894888,13158.325078942304,15929.439715152119
2025-04-30,16648.39555725053,13280.455601026504,15821.414801409255
2025-05-31,17590.062071572178,13949.523451086785,16817.297477986005
2025-06-30,18955.72215326225,14546.905275434723,17672.49806794964
2025-07-31,18711.68049507505,14674.346179854045,18069.116336395804
2025-08-31,20367.686739608736,15091.185344337347,18435.409547792915
2025-09-30,22351.524121578175,15590.331299203233,19108.301105225295
2025-10-31,23773.496250295797,15874.419176932093,19555.69732559929
2025-11-30,23727.481654343006,15916.900167707165,19603.625892627388
2025-12-31,24276.85006617391,16067.521263242348,19615.625024974583
2026-01-31,27343.335561125412,16547.270260824967,19900.056314367186
2026-02-28,29715.225449060857,16850.83987997874,19748.818666290263
2026-03-31,24710.71694757553,15837.13379971504,18765.424702770066
2026-04-30,28173.573825428906,17173.38356966051,20734.416372283704
2026-05-31,29954.365906712406,17891.65207069756,21825.732047443504
2026-06-30,29908.15532036437,17850.994972920766,21617.880494355682
