date,Rockbound 2050,Vanguard 2050,S&P 500
2020-12-31,10000.0,10000.0,10000.0
2021-01-31,10000.0,9971.39776258809,9899.037508238076
2021-02-28,10257.92162211383,10209.019770315648,10171.998890703246
2021-03-31,10431.758139215657,10453.244600879212,10617.487760010305
2021-04-30,11212.158065688094,10853.684196268652,11184.132752137682
2021-05-31,12121.629441202569,11005.500525713323,11262.244158682293
2021-06-30,12121.629441202569,11144.113277391663,11525.166619481066
2021-07-31,12887.946593733284,11210.12186064777,11798.939145306605
2021-08-31,13657.736970138078,11449.944120018768,12157.69356891688
2021-09-30,12780.03770539907,11020.901253264581,11592.246728037093
2021-10-31,15247.248418587647,11520.350104703239,12404.414558066248
2021-11-30,15247.248418587647,11249.72328837121,12318.467343047372
2021-12-31,15491.380511227306,11641.623467255391,12870.536925932787
2022-01-31,14343.702637159951,11122.838663756578,12204.527186800646
2022-02-28,14343.702637159951,10839.865416562547,11839.097349096652
2022-03-31,14260.599421553023,10983.834043951896,12278.682932241081
2022-04-30,12867.652778947971,10162.218928967552,11207.9623694926
2022-05-31,12867.652778947973,10201.933057550548,11228.5172079124
2022-06-30,12365.809299694489,9422.51665982363,10301.674850572475
2022-07-31,11788.959831266937,10043.072407407206,11251.535052625832
2022-08-31,11788.959831266937,9663.291189760235,10792.682140227867
2022-09-30,11487.73605740584,8796.994836749709,9798.681643473354
2022-10-31,12525.933846512431,9281.029519250193,10591.995581943127
2022-11-30,12350.295495029297,10015.76674685661,11183.926347931161
2022-12-31,11863.982614496059,9606.572672771203,10539.568284206507
2023-01-31,12529.889061075772,10285.132140723885,11201.814292975287
2023-02-28,12295.909995633454,9977.620090778999,10928.492332429829
2023-03-31,12817.29380410919,10244.469877386642,11329.724490029004
2023-04-30,12962.514279130384,10368.99915743184,11506.568845336478
2023-05-31,12801.12345715708,10259.718613870426,11556.58662567445
2023-06-30,13394.738184605509,10793.417153132874,12320.194090433608
2023-07-31,13810.203254121245,11151.757290737522,12715.974156431354
2023-08-31,13302.237629161378,10854.410031162315,12513.5218353311
2023-09-30,12409.599989763921,10419.828279044443,11916.900407893725
2023-10-31,12126.479166479829,10127.563931630499,11666.324442618967
2023-11-30,12831.753046832026,10989.106169482873,12731.76156110549
2023-12-31,13572.40938237239,11544.852719104701,13310.174110128848
2024-01-31,13582.640480218184,11539.656072131043,13533.839497697738
2024-02-29,14258.246201591795,11989.08538703079,14256.490830209943
2024-03-31,16332.308128428396,12337.197663142519,14715.188939453017
2024-04-30,14922.255355642928,11918.943060320511,14114.146182884566
2024-05-31,15082.568160583738,12407.338955899959,14813.998660512207
2024-06-30,15673.159613533884,12589.188513487046,15345.551161844865
2024-07-31,16421.74173679977,12867.158462888498,15532.34445161894
2024-08-31,16110.231038100836,13147.727769729614,15909.102607998948
2024-09-30,17826.56800030325,13433.490621685869,16248.874137420766
2024-10-31,15755.26546414023,13124.34699415952,16101.529222336276
2024-11-30,17419.403574269876,13602.350629744496,17046.698133659174
2024-12-31,15887.152336077972,13232.663893674091,16640.337334952925
2025-01-31,15062.205539060295,13617.642792247558,17103.726105645343
2025-02-28,16133.955789725043,13583.127378543897,16880.562884408162
2025-03-31,16014.454246894888,13158.32371843356,15929.439715152119
2025-04-30,16648.39555725053,13280.454227890043,15821.414801409255
2025-05-31,17590.062071572178,13949.522008771863,16817.297477986005
2025-06-30,18955.72215326225,14546.903771353336,17672.49806794964
2025-07-31,18711.68049507505,14674.344662595871,18069.116336395804
2025-08-31,20367.686739608736,15091.183783979972,18435.409547792915
2025-09-30,22351.524121578175,15590.329687236519,19108.301105225295
2025-10-31,23773.496250295797,15874.417535592034,19555.69732559929
2025-11-30,23727.481654343006,15916.89852197477,19603.625892627388
2025-12-31,24276.85006617391,16067.519601936441,19615.625024974583
2026-01-31,27343.335561125412,16547.268549915276,19900.056314367186
2026-02-28,29715.225449060857,16850.838137681385,19748.818666290263
2026-03-31,24710.71694757553,15837.132162230111,18765.424702770066
2026-04-30,28173.573825428906,17173.381794013658,20734.416372283704
2026-05-31,29954.365906712406,17891.650220785137,21825.732047443504
2026-06-30,29908.15532036437,17850.993127212092,21617.880494355682
